DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Rmag|ErrorRmag|Counts|ErrorCounts|InstMag_FU_Ori|ErrorInstMag_FU_Ori|InstMag_A|InstMag_B|InstMag_C|InstMag_D|InstMag_E
2020-10-05|17:37:49|FU_Ori-20201005@173735-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|916.4882|925.738|B_Astrodon_2018|2459128.23459|10.0|11.2963|0.3333|93531.9456|1515.6492|-12.4274|0.2393|-8.3396|-7.5836|-8.8004|-8.2234|-9.0019
2020-10-05|17:38:20|FU_Ori-20201005@173815-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|916.5282|925.8472|V_Astrodon_2018|2459128.23495|5.0|12.2760|0.0869|224350.3321|3774.5761|-13.3773|0.0837|-9.6997|-10.0488|-9.0648|-9.7139|-10.2355
2020-10-05|17:38:45|FU_Ori-20201005@173840-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|916.7963|925.8444|R_Astrodon_2018|2459128.23524|5.0|11.8390|0.0554|588820.0967|8882.7908|-14.4250|0.0512|-10.6909|-11.9899|-9.9304|-11.0983|-11.4047
2020-10-05|17:48:36|FU_Ori-20201005@174822-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.0543|1023.1414|B_Astrodon_2018|2459128.24208|30.0|10.7540|0.1190|287173.6494|2190.2526|-13.6454|0.1122|-9.7628|-9.0970|-9.9851|-9.1894|-10.1863
2020-10-05|17:49:27|FU_Ori-20201005@174922-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.2213|1023.8594|V_Astrodon_2018|2459128.24267|15.0|12.2014|0.0483|697578.5466|6017.2342|-14.6090|0.0401|-10.8483|-11.2553|-10.3388|-10.9475|-11.4478
2020-10-05|17:50:02|FU_Ori-20201005@174958-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.6388|1023.7068|R_Astrodon_2018|2459128.24308|15.0|12.0569|0.0279|1389691.6674|9508.7525|-15.3573|0.0275|-11.9001|-13.1808|-11.0730|-12.3439|-12.6160
2020-10-06|18:51:40|FU_Ori-20201006@185127-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1021.3035|1023.8521|B_Astrodon_2018|2459129.28588|10.0|11.0233|0.2546|96319.1188|1983.6978|-12.4593|0.2069|-8.5697|-7.9392|-8.9819|-8.1400|-8.8932
2020-10-06|18:52:11|FU_Ori-20201006@185206-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1021.0454|1024.6823|V_Astrodon_2018|2459129.28624|5.0|12.2349|0.0898|231623.3216|4240.4518|-13.4120|0.0876|-9.6731|-10.0618|-9.0944|-9.6621|-10.2160
2020-10-06|18:52:35|FU_Ori-20201006@185231-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1021.1894|1024.9526|R_Astrodon_2018|2459129.28652|5.0|11.9137|0.0562|575431.0231|9062.4737|-14.4000|0.0560|-10.7117|-11.9841|-9.8389|-11.1348|-11.4341
2020-10-06|18:53:20|FU_Ori-20201006@185308-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1310.4415|1104.4355|B_Astrodon_2018|2459129.28704|20.0|11.1127|0.1702|201678.2959|2285.4059|-13.2616|0.1423|-9.4554|-8.8243|-9.6084|-8.5560|-9.8432
