./202010/LOT20201008/bias-dark/Dark-20201008@211355-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211605-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211251-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211746-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211406-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211034-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211201-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211455-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211519-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211713-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211507-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211442-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211042-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211331-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211548-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211321-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211128-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211151-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211531-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211112-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211656-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211430-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211730-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211211-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211343-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211241-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211418-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211301-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211231-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211049-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211639-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211120-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211143-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211136-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211222-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211311-003S.fts 	 2048x2048 	 3S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211621-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211803-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211057-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201008/bias-dark/Dark-20201008@211105-001S.fts 	 2048x2048 	 1S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214039-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213718-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
