./202010/LOT20201009/flat/202001009_skyflat-004V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-002B_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_skyflat-003B_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_skyflat-005V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-001V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-004B_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_skyflat-002R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-002B_10s.fits 	 2048x2048 	 10S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_domeflat-004B_10s.fits 	 2048x2048 	 10S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_skyflat-003R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-001V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-001B_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_domeflat-005R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_skyflat-005B_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_domeflat-003V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-001R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-002R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-004R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-005B_10s.fits 	 2048x2048 	 10S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_skyflat-002V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_domeflat-003B_10s.fits 	 2048x2048 	 10S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_domeflat-003R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-005V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-005R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-001B_10s.fits 	 2048x2048 	 10S 	 FLAT 	 light 	 B_319144
./202010/LOT20201009/flat/202001009_domeflat-004V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_domeflat-001R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
./202010/LOT20201009/flat/202001009_domeflat-002V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-003V_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 V_319142
./202010/LOT20201009/flat/202001009_skyflat-004R_5s.fits 	 2048x2048 	 5S 	 FLAT 	 light 	 R_10349
