./202010/slt20201010/bias-dark/Bias-20201010@210925-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210911-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210826-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210939-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210843-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210857-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210904-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210932-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210850-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201010/bias-dark/Bias-20201010@210918-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211038-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211025-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211010-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211106-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211059-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211052-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211032-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211113-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211120-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201005/bias-dark/Bias-20201005@211045-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215934-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215905-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215858-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215841-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215912-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215941-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215927-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215851-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215919-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201014/bias-dark/Bias-20201014@215948-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213922-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213901-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
