./202010/slt20201010/bias-dark/Dark-20201010@212140-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211059-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211535-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212728-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212805-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211149-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211206-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@210959-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211953-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211517-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212020-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211012-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211224-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211459-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211526-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211636-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211048-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@210947-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211803-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212208-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212957-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212047-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211135-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211554-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211658-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212614-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211604-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212537-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211930-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211449-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211332-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211847-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211112-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211315-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212114-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211908-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211258-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212301-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211440-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211741-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212651-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211035-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212423-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
