./202010/slt20201010/wchen/wchen_03_FU_Ori/FU_Ori-20201010@203815-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201010/wchen/wchen_03_FU_Ori/FU_Ori-20201010@203653-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201010/wchen/wchen_03_FU_Ori/FU_Ori-20201010@203845-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201010/wchen/wchen_03_FU_Ori/FU_Ori-20201010@203719-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201010/wchen/wchen_03_FU_Ori/FU_Ori-20201010@203623-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201010/wchen/wchen_03_FU_Ori/FU_Ori-20201010@203524-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201005/wchen/wchen_03_FU_Ori/FU_Ori-20201005@174922-V_Astrodon_2018.fts 	 2048x2048 	 15S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201005/wchen/wchen_03_FU_Ori/FU_Ori-20201005@173815-V_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201005/wchen/wchen_03_FU_Ori/FU_Ori-20201005@173735-B_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201005/wchen/wchen_03_FU_Ori/FU_Ori-20201005@173840-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201005/wchen/wchen_03_FU_Ori/FU_Ori-20201005@174958-R_Astrodon_2018.fts 	 2048x2048 	 15S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201005/wchen/wchen_03_FU_Ori/FU_Ori-20201005@174822-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201014/wchen/wchen_03_FU_Ori/FU_Ori-20201014@180458-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201014/wchen/wchen_03_FU_Ori/FU_Ori-20201014@180357-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201014/wchen/wchen_03_FU_Ori/FU_Ori-20201014@180556-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201014/wchen/wchen_03_FU_Ori/FU_Ori-20201014@180723-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201014/wchen/wchen_03_FU_Ori/FU_Ori-20201014@180529-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201014/wchen/wchen_03_FU_Ori/FU_Ori-20201014@180653-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201009/wchen/wchen_03_FU_Ori/FU_Ori-20201009@182651-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201009/wchen/wchen_03_FU_Ori/FU_Ori-20201009@182721-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
