./202010/slt20201008/flat/AutoFlat-20201008@095054-PANoRot-V_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095407-PANoRot-R_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095435-PANoRot-R_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095447-PANoRot-R_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@094942-PANoRot-V_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095031-PANoRot-V_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095105-PANoRot-V_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@094243-PANoRot-B_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095511-PANoRot-R_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@094925-PANoRot-B_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@094901-PANoRot-B_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095042-PANoRot-V_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@095459-PANoRot-R_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@094913-PANoRot-B_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201008/flat/AutoFlat-20201008@094850-PANoRot-B_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095201-PANoRot-V_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@094946-PANoRot-B_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@094623-PANoRot-B_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095505-PANoRot-R_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095533-PANoRot-R_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095138-PANoRot-V_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095009-PANoRot-B_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095610-PANoRot-R_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@094957-PANoRot-B_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095149-PANoRot-V_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095545-PANoRot-R_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095020-PANoRot-B_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095557-PANoRot-R_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095038-PANoRot-V_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201007/flat/AutoFlat-20201007@095126-PANoRot-V_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213830-PANoRot-B_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213805-PANoRot-B_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213633-PANoRot-V_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213711-PANoRot-V_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213737-PANoRot-B_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213842-PANoRot-B_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213212-PANoRot-R_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 3S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213157-PANoRot-R_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 4S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213227-PANoRot-R_Astrodon_2018-Bin1-005-NoGEM.fts 	 2048x2048 	 3S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213104-PANoRot-R_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 4S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213646-PANoRot-V_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213658-PANoRot-V_Astrodon_2018-Bin1-004-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213604-PANoRot-V_Astrodon_2018-Bin1-001-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 V_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213142-PANoRot-R_Astrodon_2018-Bin1-002-NoGEM.fts 	 2048x2048 	 4S 	 FLAT 	  	 R_Astrodon_2018
./202010/slt20201012/flat/AutoFlat-20201012@213818-PANoRot-B_Astrodon_2018-Bin1-003-NoGEM.fts 	 2048x2048 	 1S 	 FLAT 	  	 B_Astrodon_2018
