ID|DateObs|TimeObs|Telescope|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2020-10-08|18:51:03|LOT|FU_Ori-20201008@185053-B_319144_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1034.7610|1024.7940|B_319144|2459131.285451389|10.0|20.6441|2.6995|62.2234|1.1317
2|2020-10-08|18:51:38|LOT|FU_Ori-20201008@185128-V_319142_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1035.3434|1025.6963|V_319142|2459131.2858564816|5.0|21.8670|2.7312|62.3427|1.1307
3|2020-10-08|18:55:13|LOT|FU_Ori-20201008@185504-B_319144_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1025.2723|1022.9862|B_319144|2459131.2883449076|10.0|20.6825|3.1638|63.0714|1.1230
4|2020-10-08|18:55:49|LOT|FU_Ori-20201008@185540-V_319142_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1026.1405|1024.8553|V_319142|2459131.288761574|3.0|21.8196|2.7959|63.1927|1.1220
5|2020-10-08|18:56:18|LOT|FU_Ori-20201008@185609-R_10349_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1026.8468|1024.5743|R_10349|2459131.289097222|1.0|22.5998|2.7027|63.2903|1.1211
6|2020-10-08|18:56:40|LOT|FU_Ori-20201008@185636-B_319144_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1027.2743|1021.9735|B_319144|2459131.2893518517|10.0|20.6444|3.1086|63.3642|1.1201
7|2020-10-08|18:57:15|LOT|FU_Ori-20201008@185706-V_319142_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1025.9599|1024.5661|V_319142|2459131.2897569444|3.0|21.8803|2.6913|63.4816|1.1191
8|2020-10-08|18:57:44|LOT|FU_Ori-20201008@185734-R_10349_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1028.6686|1023.3359|R_10349|2459131.2900925926|1.0|22.5698|3.1181|63.5787|1.1183
9|2020-10-08|18:58:05|LOT|FU_Ori-20201008@185802-B_319144_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1028.2269|1024.4211|B_319144|2459131.290335648|10.0|20.7340|3.1526|63.6489|1.1173
10|2020-10-08|18:58:40|LOT|FU_Ori-20201008@185830-V_319142_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1027.2045|1023.9681|V_319142|2459131.290740741|3.0|21.8720|2.6813|63.7658|1.1164
11|2020-10-08|18:59:08|LOT|FU_Ori-20201008@185859-R_10349_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1028.6032|1023.8884|R_10349|2459131.2910648147|1.0|22.7271|2.3162|63.8591|1.1156
12|2020-10-10|20:27:50|LOT|FU_Ori-20201010@202740-B_319144_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1132.5093|1064.3609|B_319144|2459133.352662037|10.0|20.4513|4.2978|75.5397|1.0325
13|2020-10-10|20:28:25|LOT|FU_Ori-20201010@202816-V_319142_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1132.7129|1065.2655|V_319142|2459133.35306713|3.0|21.5223|3.9406|75.5262|1.0325
14|2020-10-10|20:28:54|LOT|FU_Ori-20201010@202845-R_10349_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1134.0902|1064.4628|R_10349|2459133.3534027776|1.0|22.3748|3.3849|75.5139|1.0326
